squadId,seasonId,teamId,status,announcedAt,sourceName,sourceUrl,sourceId,sourceLastCheckedAt,players,notes
wc2026-tunisia-squad,fifa-world-cup-2026,wc2026-tunisia,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-belgium-squad,fifa-world-cup-2026,wc2026-belgium,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-egypt-squad,fifa-world-cup-2026,wc2026-egypt,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-iran-squad,fifa-world-cup-2026,wc2026-iran,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-new-zealand-squad,fifa-world-cup-2026,wc2026-new-zealand,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-spain-squad,fifa-world-cup-2026,wc2026-spain,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-cape-verde-squad,fifa-world-cup-2026,wc2026-cape-verde,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-saudi-arabia-squad,fifa-world-cup-2026,wc2026-saudi-arabia,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-uruguay-squad,fifa-world-cup-2026,wc2026-uruguay,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-france-squad,fifa-world-cup-2026,wc2026-france,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-senegal-squad,fifa-world-cup-2026,wc2026-senegal,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-iraq-squad,fifa-world-cup-2026,wc2026-iraq,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-norway-squad,fifa-world-cup-2026,wc2026-norway,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-argentina-squad,fifa-world-cup-2026,wc2026-argentina,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-algeria-squad,fifa-world-cup-2026,wc2026-algeria,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-austria-squad,fifa-world-cup-2026,wc2026-austria,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-jordan-squad,fifa-world-cup-2026,wc2026-jordan,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-portugal-squad,fifa-world-cup-2026,wc2026-portugal,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-dr-congo-squad,fifa-world-cup-2026,wc2026-dr-congo,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-uzbekistan-squad,fifa-world-cup-2026,wc2026-uzbekistan,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-colombia-squad,fifa-world-cup-2026,wc2026-colombia,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-england-squad,fifa-world-cup-2026,wc2026-england,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-croatia-squad,fifa-world-cup-2026,wc2026-croatia,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-ghana-squad,fifa-world-cup-2026,wc2026-ghana,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
wc2026-panama-squad,fifa-world-cup-2026,wc2026-panama,unknown,,,,wiki_squads,2026-05-23,,Placeholder only. Final squads are volatile and should be populated from official federation/FIFA sources.
